campaign_id,campaign_name,channel,region,budget,spend,clicks,conversions,revenue_attributed,roi,campaign_start,campaign_end,campaign_month
CMP039,Product Launch 2025 -- Webinar (South),Webinar,South,74480.05,61953.21,21959,760,1380942.94,2129.0,2025-06-02,2025-06-11,2025-06
CMP040,Product Launch 2024 -- LinkedIn (North),LinkedIn,North,33839.59,29929.14,16972,2267,1026339.12,3329.2,2024-01-09,2024-01-17,2024-01
CMP041,Enterprise 2026 -- Meta Ads (South),Meta Ads,South,6019.86,5194.83,8654,506,121426.27,2237.4,2026-01-01,2026-01-11,2026-01
CMP042,Retargeting 2024 -- Meta Ads (Central),Meta Ads,Central,30813.07,24206.33,42126,2693,6705696.16,27602.2,2024-12-15,2024-12-25,2024-12
CMP043,Conversion 2024 -- Content Marketing (East),Content Marketing,East,59447.1,57209.22,36916,916,1442187.0,2420.9,2024-10-02,2024-10-15,2024-10
CMP044,Regional 2025 -- Webinar (West),Webinar,West,90485.94,77507.37,25464,3915,4922825.89,6251.4,2025-04-02,2025-04-15,2025-04
CMP045,Holiday 2024 -- Google Ads (East),Google Ads,East,40512.55,39599.82,4412,753,802251.27,1925.9,2024-04-14,2024-04-21,2024-04
CMP046,Q1 2025 -- Email (West),Email,West,70148.55,57651.49,21911,2374,913166.43,1483.9,2025-10-08,2025-10-15,2025-10
CMP047,Enterprise 2025 -- Email (North),Email,North,83862.88,66460.42,435,49,41401.95,-37.7,2025-05-03,2025-05-19,2025-05
CMP048,Retargeting 2024 -- LinkedIn (North),LinkedIn,North,62934.75,59883.26,40522,4526,8178192.49,13556.9,2024-06-14,2024-06-21,2024-06
CMP049,Regional 2026 -- Webinar (North),Webinar,North,20430.72,17015.81,10672,1405,2509805.19,14649.8,2026-02-02,2026-02-14,2026-02
CMP050,Regional 2026 -- Webinar (South),Webinar,South,57083.57,56856.75,42662,3891,3364849.49,5818.1,2026-01-06,2026-01-21,2026-01
CMP051,Awareness 2026 -- LinkedIn (East),LinkedIn,East,34075.94,34033.84,11626,1978,3765038.47,10962.6,2026-01-12,2026-01-28,2026-01
CMP052,Q2 2025 -- Events (South),Events,South,16002.09,13320.19,10630,1602,1442524.19,10729.6,2025-01-13,2025-01-21,2025-01
CMP053,Brand 2024 -- Content Marketing (West),Content Marketing,West,57455.51,45636.46,2846,157,386292.08,746.5,2024-08-08,2024-08-26,2024-08
CMP054,Holiday 2026 -- Events (East),Events,East,91305.22,76667.72,35173,5717,7675771.11,9911.7,2026-01-04,2026-01-11,2026-01
CMP055,Conversion 2024 -- Email (Central),Email,Central,89440.46,85938.75,8801,426,1056645.08,1129.5,2024-09-07,2024-09-15,2024-09
CMP056,Holiday 2026 -- LinkedIn (South),LinkedIn,South,67771.33,57003.57,12065,328,616857.38,982.1,2026-03-12,2026-03-28,2026-03
CMP057,SMB 2025 -- Events (East),Events,East,61960.51,61690.28,5984,222,131571.02,113.3,2025-08-06,2025-08-20,2025-08
CMP058,Holiday 2026 -- Events (West),Events,West,77066.63,66811.68,9558,867,639645.02,857.4,2026-02-01,2026-02-19,2026-02
CMP059,Regional 2025 -- Google Ads (North),Google Ads,North,38881.28,34318.63,30658,5084,1228260.49,3479.0,2025-01-09,2025-01-25,2025-01
CMP060,Conversion 2026 -- LinkedIn (North),LinkedIn,North,24485.07,20683.25,34389,3962,4094760.14,19697.5,2026-02-03,2026-02-11,2026-02
CMP061,Retargeting 2024 -- Events (North),Events,North,76091.67,59539.92,33465,4072,9109418.65,15199.7,2024-05-08,2024-05-21,2024-05
CMP062,SMB 2026 -- Events (Central),Events,Central,31672.51,30900.52,7856,1096,2045934.07,6521.0,2026-02-01,2026-02-18,2026-02
CMP063,Regional 2026 -- Events (Central),Events,Central,85335.88,66703.77,7089,860,2006550.05,2908.2,2026-04-10,2026-04-28,2026-04
CMP064,SMB 2024 -- Google Ads (West),Google Ads,West,76075.99,73830.38,44543,3404,7139937.9,9570.7,2024-04-09,2024-04-26,2024-04
CMP065,Brand 2026 -- LinkedIn (Central),LinkedIn,Central,42673.58,38960.56,35989,5170,3912533.34,9942.3,2026-05-14,2026-05-28,2026-05
CMP066,Q1 2025 -- Events (South),Events,South,72617.61,70739.45,760,93,116726.19,65.0,2025-07-12,2025-07-22,2025-07
CMP067,Regional 2025 -- Events (West),Events,West,79380.81,73982.89,19676,2854,2524897.84,3312.8,2025-10-10,2025-10-26,2025-10
CMP068,Q1 2025 -- Content Marketing (East),Content Marketing,East,47930.45,42916.09,11364,1579,739411.98,1622.9,2025-05-02,2025-05-22,2025-05
CMP069,SMB 2026 -- LinkedIn (East),LinkedIn,East,83882.74,83746.73,7351,957,213250.73,154.6,2026-02-05,2026-02-24,2026-02
CMP070,Brand 2025 -- Meta Ads (East),Meta Ads,East,24883.31,22464.8,21786,3763,6195973.15,27480.8,2025-10-11,2025-10-28,2025-10
CMP071,Awareness 2024 -- Webinar (Central),Webinar,Central,79367.52,78695.41,24046,2428,2157109.25,2641.1,2024-08-13,2024-08-28,2024-08
CMP072,Enterprise 2024 -- Content Marketing (Central),Content Marketing,Central,68269.35,64810.96,4921,396,549126.04,747.3,2024-11-08,2024-11-20,2024-11
CMP073,Awareness 2026 -- LinkedIn (South),LinkedIn,South,24999.01,24974.5,42939,5461,11167582.68,44615.9,2026-01-08,2026-01-28,2026-01
CMP074,Retargeting 2025 -- Email (West),Email,West,65497.99,52288.77,43295,1042,1690209.98,3132.5,2025-02-15,2025-02-28,2025-02
CMP075,Q3 2026 -- Events (West),Events,West,19118.16,15281.96,33036,2360,429725.31,2712.0,2026-02-07,2026-02-23,2026-02
CMP076,Q3 2026 -- Email (South),Email,South,95623.85,79679.31,3032,413,279555.38,250.9,2026-05-10,2026-05-22,2026-05
CMP077,Q3 2026 -- Content Marketing (South),Content Marketing,South,48567.07,40232.5,44172,5907,12114227.95,30010.6,2026-04-06,2026-04-16,2026-04
CMP078,Awareness 2025 -- Events (East),Events,East,10094.86,7923.59,8585,509,652979.72,8141.0,2025-03-05,2025-03-21,2025-03
CMP079,Q1 2025 -- LinkedIn (North),LinkedIn,North,60590.21,56202.89,20775,1639,2922210.22,5099.4,2025-10-06,2025-10-27,2025-10
CMP080,SMB 2024 -- Meta Ads (North),Meta Ads,North,28890.26,23072.93,20461,1278,2994822.97,12879.8,2024-01-07,2024-01-15,2024-01
CMP081,Q2 2025 -- Events (East),Events,East,77767.28,60420.77,37143,2224,3796988.72,6184.2,2025-08-13,2025-08-26,2025-08
CMP082,Conversion 2024 -- Webinar (North),Webinar,North,79641.08,76509.97,21494,531,996748.52,1202.8,2024-08-11,2024-08-28,2024-08
CMP083,Retargeting 2024 -- Meta Ads (North),Meta Ads,North,27501.25,25507.99,1931,151,127699.66,400.6,2024-03-15,2024-03-28,2024-03
CMP084,Q1 2026 -- Events (West),Events,West,93996.94,79215.41,21423,3209,3046165.76,3745.4,2026-03-04,2026-03-21,2026-03
CMP085,Seasonal 2024 -- Google Ads (East),Google Ads,East,45726.87,40007.84,32134,4592,7225193.21,17959.4,2024-07-04,2024-07-22,2024-07
CMP086,SMB 2024 -- Content Marketing (East),Content Marketing,East,43944.54,43792.54,37985,5154,1520603.16,3372.3,2024-04-11,2024-04-20,2024-04
CMP087,Awareness 2024 -- Google Ads (West),Google Ads,West,83356.93,70859.8,24909,3371,8293231.51,11603.7,2024-09-03,2024-09-21,2024-09
CMP088,Q3 2026 -- Email (South),Email,South,19218.33,17124.66,24744,4251,7396129.03,43089.9,2026-01-03,2026-01-20,2026-01
CMP089,Retargeting 2025 -- Google Ads (West),Google Ads,West,94162.35,81502.86,4599,795,1386325.62,1601.0,2025-10-01,2025-10-14,2025-10
CMP090,Q4 2024 -- Google Ads (South),Google Ads,South,29020.88,26202.96,30156,2708,3432971.57,13001.5,2024-04-10,2024-04-28,2024-04
CMP091,Brand 2025 -- Google Ads (South),Google Ads,South,66660.08,61425.05,15352,1751,2876374.33,4582.7,2025-03-12,2025-03-20,2025-03
CMP092,Enterprise 2026 -- Webinar (North),Webinar,North,79403.68,71649.92,7571,154,145123.64,102.5,2026-02-10,2026-02-28,2026-02
CMP093,Enterprise 2024 -- Email (North),Email,North,9001.75,6876.56,36849,1479,726923.18,10471.0,2024-03-03,2024-03-24,2024-03
CMP094,Q3 2025 -- Webinar (South),Webinar,South,48132.85,36751.13,18948,2259,2059651.43,5504.3,2025-08-12,2025-08-23,2025-08
CMP095,Q3 2025 -- Events (Central),Events,Central,10903.25,8704.92,10605,1387,1898247.95,21706.6,2025-03-15,2025-03-28,2025-03
CMP096,Q1 2024 -- Google Ads (North),Google Ads,North,90645.99,73846.71,27665,2171,3282630.53,4345.2,2024-07-10,2024-07-25,2024-07
CMP097,Regional 2025 -- Webinar (South),Webinar,South,58947.48,56272.35,1474,182,406292.04,622.0,2025-08-07,2025-08-14,2025-08
CMP098,Regional 2024 -- Email (East),Email,East,99935.76,79371.08,30414,1666,2403644.68,2928.4,2024-12-11,2024-12-22,2024-12
CMP099,Holiday 2025 -- Email (East),Email,East,6338.93,4759.91,39914,2539,2278724.41,47773.3,2025-09-15,2025-09-28,2025-09
CMP100,Product Launch 2024 -- Email (West),Email,West,53825.16,48532.31,10237,1098,564809.59,1063.8,2024-07-02,2024-07-11,2024-07
CMP101,Q3 2026 -- Google Ads (Central),Google Ads,Central,89890.18,82856.66,4866,648,1248268.45,1406.5,2026-02-09,2026-02-28,2026-02
CMP102,Q4 2025 -- Google Ads (East),Google Ads,East,87240.24,67055.72,34013,5804,1324456.36,1875.2,2025-01-01,2025-01-13,2025-01
CMP103,Q1 2026 -- Webinar (West),Webinar,West,80515.36,61881.5,42225,3556,3087297.14,4889.0,2026-04-09,2026-04-24,2026-04
CMP104,Q3 2026 -- Content Marketing (West),Content Marketing,West,49290.15,43420.88,8274,1330,2577910.11,5837.0,2026-03-11,2026-03-19,2026-03
CMP105,Retargeting 2026 -- Meta Ads (East),Meta Ads,East,70138.93,54063.19,26342,3864,1349080.56,2395.4,2026-03-04,2026-03-16,2026-03
CMP106,Brand 2026 -- Google Ads (Central),Google Ads,Central,6873.45,5911.15,7966,759,1348384.05,22710.9,2026-05-11,2026-05-22,2026-05
CMP107,SMB 2024 -- Email (West),Email,West,49397.23,38325.59,3792,361,296126.5,672.7,2024-06-03,2024-06-10,2024-06
CMP108,Seasonal 2024 -- Meta Ads (East),Meta Ads,East,74540.9,67032.82,29888,3942,6595258.74,9738.9,2024-07-09,2024-07-25,2024-07
CMP109,Q2 2024 -- Email (East),Email,East,13701.12,13448.93,37598,6317,1708229.71,12601.6,2024-11-01,2024-11-13,2024-11
CMP110,Seasonal 2024 -- Google Ads (West),Google Ads,West,7667.32,6089.02,24594,681,659096.74,10724.3,2024-08-09,2024-08-27,2024-08
CMP111,Retargeting 2025 -- Events (East),Events,East,26816.14,24688.8,11709,295,52537.93,112.8,2025-03-11,2025-03-28,2025-03
CMP112,Conversion 2025 -- Events (South),Events,South,62289.38,50906.47,30393,3887,6556549.2,12779.6,2025-06-15,2025-06-28,2025-06
CMP113,Product Launch 2024 -- Webinar (East),Webinar,East,87371.47,87104.2,20465,1242,2404757.1,2660.8,2024-10-07,2024-10-19,2024-10
CMP114,Product Launch 2025 -- Meta Ads (East),Meta Ads,East,77537.41,63152.58,42696,1986,1610664.93,2450.4,2025-11-11,2025-11-28,2025-11
CMP115,Q4 2024 -- LinkedIn (West),LinkedIn,West,46876.8,35618.74,44760,6988,2574042.4,7126.7,2024-06-13,2024-06-28,2024-06
CMP116,Regional 2025 -- Meta Ads (South),Meta Ads,South,47193.16,40394.38,26117,3621,7107657.28,17495.7,2025-10-13,2025-10-23,2025-10
CMP117,Retargeting 2025 -- Email (Central),Email,Central,90548.41,85276.74,514,79,71300.82,-16.4,2025-09-02,2025-09-20,2025-09
CMP118,Retargeting 2024 -- Content Marketing (West),Content Marketing,West,9410.51,7912.29,19747,2339,2499960.37,31495.9,2024-08-05,2024-08-21,2024-08
CMP119,Q1 2025 -- Google Ads (Central),Google Ads,Central,53973.27,43332.96,22312,2243,1237353.8,2755.5,2025-05-10,2025-05-26,2025-05
CMP120,Seasonal 2025 -- Webinar (North),Webinar,North,7546.87,6824.64,36758,3303,1913245.47,27934.4,2025-08-05,2025-08-16,2025-08
CMP121,Awareness 2024 -- Content Marketing (East),Content Marketing,East,61160.43,47356.08,7838,270,651395.29,1275.5,2024-06-03,2024-06-17,2024-06
CMP122,Enterprise 2026 -- LinkedIn (Central),LinkedIn,Central,69355.66,67570.93,40156,4361,10856030.39,15966.1,2026-01-09,2026-01-20,2026-01
CMP123,Seasonal 2024 -- Events (East),Events,East,83541.52,71261.96,32973,4173,1138982.83,1498.3,2024-03-02,2024-03-12,2024-03
CMP124,Awareness 2026 -- Webinar (West),Webinar,West,94014.45,83011.78,2813,454,225784.31,172.0,2026-02-11,2026-02-22,2026-02
CMP125,Retargeting 2024 -- LinkedIn (West),LinkedIn,West,93580.61,70387.87,21950,1480,3095643.12,4298.0,2024-06-10,2024-06-24,2024-06
CMP126,Awareness 2025 -- Events (Central),Events,Central,62926.97,62429.62,18675,1779,3122605.89,4901.8,2025-09-14,2025-09-22,2025-09
CMP127,Enterprise 2026 -- Webinar (Central),Webinar,Central,5467.39,4339.06,16446,2790,6702319.87,154364.8,2026-03-08,2026-03-19,2026-03
CMP128,Conversion 2026 -- Webinar (West),Webinar,West,88560.01,68204.58,28366,923,535736.52,685.5,2026-03-11,2026-03-25,2026-03
CMP129,Q3 2024 -- Events (East),Events,East,64042.0,62393.81,27975,2555,6043694.0,9586.4,2024-05-06,2024-05-25,2024-05
CMP130,SMB 2026 -- Events (West),Events,West,61019.63,54029.19,30413,5185,4806550.85,8796.2,2026-05-11,2026-05-27,2026-05
CMP131,Conversion 2026 -- LinkedIn (East),LinkedIn,East,33016.54,25334.18,18395,380,876834.1,3361.1,2026-03-15,2026-03-28,2026-03
CMP132,Q1 2026 -- Webinar (South),Webinar,South,70669.3,70007.85,28705,1409,1713547.34,2347.7,2026-02-07,2026-02-28,2026-02
CMP133,Q4 2026 -- Webinar (North),Webinar,North,54013.59,40877.69,10239,1581,3363576.52,8128.4,2026-02-05,2026-02-18,2026-02
CMP134,Enterprise 2025 -- LinkedIn (Central),LinkedIn,Central,73282.86,67220.16,26881,1048,2341917.54,3384.0,2025-08-10,2025-08-20,2025-08
CMP135,Q3 2026 -- Email (East),Email,East,71616.9,31905.25,4269,745,919374.58,2781.6,2026-04-03,2026-04-21,2026-04
CMP136,Brand 2025 -- Webinar (North),Webinar,North,7874.32,6527.95,15408,559,129989.61,1891.3,2025-06-10,2025-06-21,2025-06
CMP137,Q1 2026 -- Email (South),Email,South,25252.08,21716.74,44449,2142,4775882.62,21891.7,2026-03-04,2026-03-14,2026-03
CMP138,Q3 2026 -- Google Ads (West),Google Ads,West,32005.54,27657.33,23278,2023,4399432.18,15806.9,2026-04-11,2026-04-28,2026-04
CMP139,Awareness 2026 -- Meta Ads (North),Meta Ads,North,6361.94,5637.52,12390,1353,1755428.98,31038.3,2026-01-04,2026-01-19,2026-01
CMP140,Holiday 2025 -- Email (North),Email,North,37938.1,36627.02,21913,2238,2316925.53,6225.7,2025-02-06,2025-02-24,2025-02
CMP141,Q2 2025 -- Email (East),Email,East,54674.11,41398.17,41387,6486,11347618.2,27310.9,2025-12-14,2025-12-25,2025-12
CMP142,Retargeting 2024 -- LinkedIn (South),LinkedIn,South,54714.6,48426.45,28563,3240,7424883.4,15232.3,2024-02-03,2024-02-24,2024-02
CMP143,Awareness 2026 -- Content Marketing (East),Content Marketing,East,62543.46,58809.3,11708,1239,2778852.85,4625.2,2026-03-07,2026-03-23,2026-03
CMP144,Q1 2025 -- LinkedIn (Central),LinkedIn,Central,28041.2,25726.74,44404,2078,3324177.47,12821.1,2025-01-06,2025-01-15,2025-01
CMP145,Conversion 2025 -- Content Marketing (Central),Content Marketing,Central,87163.02,69939.79,10642,1775,1133808.11,1521.1,2025-02-13,2025-02-28,2025-02
CMP146,Conversion 2026 -- Email (West),Email,West,47038.83,45541.81,31692,3398,1597170.29,3407.0,2026-04-05,2026-04-14,2026-04
CMP147,Q3 2026 -- Webinar (Central),Webinar,Central,55272.51,51662.95,2104,285,142906.58,176.6,2026-03-03,2026-03-17,2026-03
CMP148,Holiday 2025 -- Email (Central),Email,Central,46574.99,35862.67,675,57,97739.01,172.5,2025-09-04,2025-09-24,2025-09
CMP149,Seasonal 2024 -- Content Marketing (South),Content Marketing,South,82260.25,77209.31,41920,5561,7111383.69,9110.5,2024-05-11,2024-05-28,2024-05
CMP150,Regional 2024 -- Email (East),Email,East,81400.9,78128.97,32948,4055,7918170.54,10034.7,2024-04-11,2024-04-20,2024-04
CMP151,Seasonal 2025 -- LinkedIn (North),LinkedIn,North,72043.29,62494.24,4190,714,1409065.05,2154.7,2025-04-06,2025-04-21,2025-04
CMP152,Seasonal 2026 -- Webinar (South),Webinar,South,82502.4,78585.73,1684,117,62426.52,-20.6,2026-02-03,2026-02-18,2026-02
CMP153,Seasonal 2026 -- Google Ads (East),Google Ads,East,32583.61,27781.96,39759,5416,9726275.17,34909.3,2026-02-06,2026-02-18,2026-02
CMP154,Holiday 2025 -- Events (South),Events,South,14904.81,12727.1,36763,3896,9321958.48,73145.0,2025-08-11,2025-08-18,2025-08
CMP155,Regional 2026 -- Content Marketing (East),Content Marketing,East,32121.47,17090.19,30361,1738,1114533.48,6421.5,2026-04-11,2026-04-28,2026-04
CMP156,Brand 2026 -- Email (East),Email,East,68764.3,67006.97,44183,3932,7484013.35,11069.0,2026-01-05,2026-01-16,2026-01
CMP157,Q2 2026 -- Meta Ads (South),Meta Ads,South,96660.06,76434.78,35875,4174,4081277.92,5239.6,2026-02-10,2026-02-28,2026-02
CMP158,Regional 2025 -- Webinar (West),Webinar,West,45207.86,35733.21,44593,5279,12453369.06,34751.0,2025-01-01,2025-01-18,2025-01
CMP159,Holiday 2026 -- Content Marketing (Central),Content Marketing,Central,8018.51,6840.95,41892,4558,4143781.42,60473.2,2026-03-03,2026-03-16,2026-03
CMP160,Regional 2024 -- Google Ads (North),Google Ads,North,95745.44,85594.52,2096,274,196488.45,129.6,2024-12-01,2024-12-11,2024-12
CMP161,Q4 2024 -- Email (Central),Email,Central,28536.36,24429.25,41130,1173,2632291.09,10675.2,2024-07-03,2024-07-18,2024-07
CMP162,Q1 2024 -- Content Marketing (Central),Content Marketing,Central,94931.35,79884.15,14516,770,622528.27,679.3,2024-01-09,2024-01-26,2024-01
CMP163,Retargeting 2025 -- LinkedIn (South),LinkedIn,South,67314.02,58748.35,33721,4812,1523299.89,2492.9,2025-08-01,2025-08-10,2025-08
CMP164,Product Launch 2025 -- Email (East),Email,East,39968.63,36939.38,38300,4858,4105814.16,11015.0,2025-10-07,2025-10-24,2025-10
CMP165,Seasonal 2026 -- LinkedIn (West),LinkedIn,West,97744.95,73929.83,22652,1628,2725377.77,3586.4,2026-03-10,2026-03-26,2026-03
CMP166,Holiday 2026 -- Meta Ads (West),Meta Ads,West,53824.88,52147.32,18958,3101,4539877.38,8605.9,2026-01-08,2026-01-16,2026-01
CMP167,Awareness 2024 -- LinkedIn (Central),LinkedIn,Central,86057.83,83839.36,9598,1434,423032.88,404.6,2024-12-06,2024-12-15,2024-12
CMP168,Conversion 2026 -- Webinar (West),Webinar,West,12059.06,11004.23,6509,1040,1647471.52,14871.3,2026-05-03,2026-05-22,2026-05
CMP169,Awareness 2025 -- Google Ads (South),Google Ads,South,33105.9,26062.1,13602,359,734534.71,2718.4,2025-06-08,2025-06-19,2025-06
CMP170,Holiday 2026 -- Email (South),Email,South,49006.79,37070.21,36043,1536,3663387.39,9782.3,2026-04-13,2026-04-28,2026-04
CMP171,Q4 2026 -- Content Marketing (South),Content Marketing,South,21368.77,21033.24,11244,1552,1270477.16,5940.3,2026-03-11,2026-03-28,2026-03
CMP172,Conversion 2026 -- Google Ads (East),Google Ads,East,46468.26,38215.05,1645,184,66625.91,74.3,2026-02-10,2026-02-20,2026-02
CMP173,Regional 2026 -- Content Marketing (North),Content Marketing,North,67703.29,56762.13,37665,2663,3955168.22,6868.0,2026-01-06,2026-01-24,2026-01
CMP174,Q2 2025 -- LinkedIn (North),LinkedIn,North,17948.07,17548.26,15710,2587,2363369.63,13367.8,2025-10-15,2025-10-26,2025-10
CMP175,Q2 2024 -- Google Ads (West),Google Ads,West,95707.12,90484.59,13565,2007,3796007.75,4095.2,2024-09-15,2024-09-28,2024-09
CMP176,Q4 2026 -- LinkedIn (South),LinkedIn,South,25362.21,23885.73,41055,3661,2062484.75,8534.8,2026-03-08,2026-03-16,2026-03
CMP177,SMB 2026 -- Email (West),Email,West,27725.58,26473.68,7800,1114,561715.2,2021.8,2026-04-02,2026-04-11,2026-04
CMP178,Brand 2024 -- Events (South),Events,South,12940.39,10429.27,6246,414,898110.66,8511.4,2024-12-12,2024-12-22,2024-12
CMP179,Q1 2024 -- Google Ads (Central),Google Ads,Central,57825.51,52689.52,4802,540,940654.97,1685.3,2024-10-09,2024-10-25,2024-10
CMP180,Regional 2025 -- Content Marketing (East),Content Marketing,East,59366.52,54559.32,38872,1001,512599.59,839.5,2025-03-04,2025-03-12,2025-03
CMP181,Regional 2025 -- Meta Ads (South),Meta Ads,South,71138.08,55027.09,10135,581,675667.91,1127.9,2025-07-09,2025-07-27,2025-07
CMP182,Awareness 2024 -- Email (West),Email,West,99098.6,96900.68,5775,125,211213.42,118.0,2024-05-15,2024-05-28,2024-05
CMP183,Brand 2024 -- Events (Central),Events,Central,80352.43,69889.21,2543,181,395846.69,466.4,2024-10-02,2024-10-23,2024-10
CMP184,Q1 2026 -- Meta Ads (North),Meta Ads,North,77527.03,77257.68,18054,3113,2394572.75,2999.5,2026-02-13,2026-02-22,2026-02
CMP185,Brand 2024 -- Email (East),Email,East,50101.18,42471.28,4003,609,801102.35,1786.2,2024-08-02,2024-08-13,2024-08
